country_iso3,country_name,flag_level,prs_literature_score,primary_citation,secondary_citations,notes,methodology_version
GHA,Ghana,major_hub,10,"Lundgren 2012 (UNEP): E-waste in developing countries","{""Akormedi et al. 2013 (Environmental Research)"", ""Amoyaw-Osei et al. 2011 (GreenAd Ltd)""}","Agbogbloshie site in Accra documented as one of the world's largest informal e-waste processing sites. Open burning and acid leaching documented. Significant health impacts on workers.",1
NGA,Nigeria,major_hub,10,"Osibanjo & Nnorom 2007 (Management of Environmental Quality)","{}","Lagos (Alaba International Market) is a major informal e-waste hub. Documented in multiple BAN (Basel Action Network) investigations. Large informal sector processes exported used electronics.",1
PAK,Pakistan,major_hub,10,"Naqvi et al. 2014 (Resources Conservation and Recycling)","{}","Karachi and Lahore have significant informal e-waste processing. Acid leaching of printed circuit boards documented.",1
BGD,Bangladesh,documented,6,"Hossain et al. 2015 (Environment International)","{}","Dhaka has documented informal e-waste workshops. Processing of used electronics from EU and North America documented.",1
CHN,China,documented,6,"Chi et al. 2011 (Environmental Pollution)","{}","Guiyu (Guangdong) was historically the world's largest e-waste processing site. Chinese import bans (2018 National Sword policy) have significantly reduced formal imports but informal processing continues. Downgraded from major_hub to documented to reflect policy change.",1
IND,India,documented,6,"Sinha-Khetriwal et al. 2005 (Resources Conservation and Recycling)","{""Toxics Link 2003"", ""Pradhan & Kumar 2014 (Waste Management)""}","Multiple cities (Delhi, Mumbai, Bangalore, Chennai) have documented informal e-waste dismantling. India's E-Waste Management Rules (2016, amended 2022) have increased formal sector capacity but informal sector remains dominant.",1
SEN,Senegal,documented,6,"Lepawsky & Billah 2011 (Area)","{}","Dakar has documented informal e-waste processing, partly from EU exports.",1
TZA,Tanzania,documented,6,"Mphahlele et al. 2011","{""Mmereki et al. 2016""}","Dar es Salaam has growing informal e-waste sector. Data limited.",1
UGA,Uganda,documented,6,"Nziku & Muwanga 2018","{}","Kampala has documented informal e-waste workshops.",1
EGY,Egypt,documented,6,"El-Haggar 2007 (Sustainable Industrial Design and Waste Management)","{}","Cairo has documented informal e-waste recycling. Egypt is a transit country for e-waste from EU to sub-Saharan Africa.",1
IDN,Indonesia,documented,6,"Lepawsky 2018 (Reassembling Rubbish)","{}","Java has documented informal e-waste processing. Growing formal sector.",1
PHL,Philippines,documented,6,"JICA 2010 E-waste study Philippines","{}","Metro Manila has documented informal e-waste recycling. The Philippines has ratified the Basel Convention.",1
MYS,Malaysia,documented,6,"Rahman et al. 2014 (E3S Web of Conferences)","{}","Malaysia is a known transit and processing country for e-waste from Australia and Japan. Illegal imports documented by authorities.",1
MEX,Mexico,documented,6,"Baldé et al. 2017 (UN University / UNU-IAS)","{}","Border cities (Tijuana, Ciudad Juárez) have documented informal e-waste recycling, partly linked to maquiladora industry.",1
BRA,Brazil,documented,6,"Xavier & Ottoni 2016 (Waste Management)","{}","Brazil has significant informal e-waste sector despite being a major generator. Growing formal sector.",1
